id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,48,287.20000000000005,0.81,0.81,0.08100000000000002
1,83,349.5,0.16,0.16,0.016
2,60,334.3,0.47,0.47,0.047
3,63,313.9,0.63,0.63,0.063
4,38,301.90000000000003,0.6,0.6,0.06
5,4,280.90000000000003,0.4,0.4,0.04000000000000001
6,67,338.7,0.67,0.67,0.067
7,3,273.40000000000003,0.39,0.39,0.03900000000000001
8,72,324.20000000000005,0.6,0.6,0.06
9,68,308.5,0.93,0.93,0.09300000000000001
10,45,295.9,0.94,0.94,0.094
11,10,224.5,0.65,0.65,0.065
12,39,266.5,0.83,0.83,0.083
13,80,316.6,0.25,0.25,0.025
14,61,306.70000000000005,0.46,0.46,0.046000000000000006
15,3,252.60000000000002,0.26,0.26,0.026000000000000002
16,10,286.90000000000003,0.61,0.61,0.061
17,49,283.0,0.72,0.72,0.072
18,10,250.5,0.34,0.34,0.034
19,50,304.8,0.73,0.73,0.073
20,80,350.40000000000003,0.21,0.17,0.021
21,18,306.6,0.71,0.71,0.071
22,11,295.7,0.73,0.73,0.073
23,100,366.5,0.27,0.27,0.027000000000000003
24,29,316.3,0.4,0.4,0.04000000000000001
25,19,255.6,0.58,0.58,0.057999999999999996
26,21,288.8,0.59,0.59,0.059
27,72,339.8,0.28,0.26,0.028000000000000004
28,41,304.90000000000003,0.92,0.92,0.09200000000000001
29,62,280.4,0.99,0.99,0.099
30,90,343.5,0.65,0.65,0.065
31,27,229.8,0.91,0.91,0.09100000000000001
32,5,279.3,0.13,0.13,0.013000000000000001
33,46,281.3,0.76,0.76,0.07600000000000001
34,14,296.1,0.79,0.79,0.07900000000000001
35,35,257.3,0.51,0.51,0.051000000000000004
36,63,311.3,0.87,0.87,0.08700000000000001
37,39,297.7,0.99,0.99,0.099
38,98,361.90000000000003,0.84,0.84,0.084
39,84,367.40000000000003,0.56,0.56,0.05600000000000001
40,91,341.9,0.37,0.37,0.037
41,51,295.4,0.26,0.1,0.026000000000000002
42,48,300.20000000000005,0.56,0.56,0.05600000000000001
43,83,324.8,0.49,0.49,0.049
44,54,281.5,0.16,0.16,0.016
45,14,253.20000000000002,0.24,0.24,0.024
46,99,336.9,0.66,0.66,0.066
47,16,274.7,0.27,0.27,0.027000000000000003
48,55,311.1,0.84,0.84,0.084
49,93,323.1,0.99,0.99,0.099
