id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,2,242.5,0.44,0.44,0.044000000000000004
1,28,302.3,0.67,0.67,0.067
2,46,324.2,0.47,0.47,0.047
3,12,268.1,0.59,0.59,0.059
4,24,265.8,0.61,0.61,0.061
5,78,340.6,0.98,0.98,0.098
6,82,339.40000000000003,0.81,0.81,0.08100000000000002
7,27,276.6,0.43,0.43,0.043000000000000003
8,28,315.3,0.35,0.35,0.034999999999999996
9,75,349.3,0.58,0.58,0.057999999999999996
10,72,312.5,0.94,0.94,0.094
11,8,295.3,0.27,0.27,0.027000000000000003
12,57,267.6,0.27,0.27,0.027000000000000003
13,87,343.1,0.25,0.25,0.025
14,2,213.9,1.0,1.0,0.1
15,32,264.70000000000005,0.93,0.93,0.09300000000000001
16,27,279.20000000000005,0.65,0.65,0.065
17,8,286.2,0.28,0.28,0.028000000000000004
18,33,293.0,0.94,0.94,0.094
19,80,297.1,0.41,0.41,0.041
20,37,290.5,0.34,0.34,0.034
21,77,340.90000000000003,0.88,0.88,0.08800000000000001
22,22,314.5,0.73,0.73,0.073
23,15,241.20000000000002,0.42,0.42,0.042
24,90,356.5,0.9,0.9,0.09000000000000001
25,15,243.8,0.63,0.63,0.063
26,98,368.40000000000003,0.8,0.8,0.08000000000000002
27,9,257.3,0.52,0.52,0.052000000000000005
28,97,379.1,0.22,0.22,0.022000000000000002
29,17,300.40000000000003,0.82,0.82,0.082
30,18,267.6,0.43,0.43,0.043000000000000003
31,90,320.1,0.53,0.53,0.053000000000000005
32,22,269.0,0.52,0.52,0.052000000000000005
33,27,284.40000000000003,0.72,0.72,0.072
34,28,267.20000000000005,0.39,0.39,0.03900000000000001
35,3,300.7,1.0,1.0,0.1
36,86,366.8,0.56,0.56,0.05600000000000001
37,72,315.1,0.49,0.49,0.049
38,3,283.8,0.44,0.44,0.044000000000000004
39,69,331.6,0.47,0.47,0.047
40,64,294.1,0.67,0.67,0.067
41,22,280.7,0.95,0.95,0.095
42,23,289.5,0.63,0.63,0.063
43,16,233.1,0.41,0.41,0.041
44,19,299.8,0.28,0.28,0.028000000000000004
45,35,253.4,0.16,0.16,0.016
46,13,228.8,0.74,0.74,0.074
47,97,316.70000000000005,0.84,0.84,0.084
48,55,316.3,0.55,0.55,0.05500000000000001
49,58,307.6,0.84,0.84,0.084
