1,25,8,22,4,16,2,21,6,29,5,12,0,17,3,13,9,28
8,23,6,12,9,19,7,20,0,25,3,27,1,29,5,18,2,23
6,17,2,20,7,21,9,28,3,23,5,19,0,17,8,14,4,11
6,25,2,19,3,23,0,16,4,19,7,27,1,17,9,22,8,28,5,11
9,17,5,29,0,16,4,12,1,23,6,11,3,27,8,17,2,24,7,11
5,19,3,16,4,29,6,16,7,23,1,24,9,29,8,24,2,27,0,20
2,20,8,24,3,18,5,28,9,12,6,17,0,16,7,16,1,22,4,10
3,13,1,22,7,17,4,13,9,13,8,17,6,12,5,19,0,27
5,28,1,22,8,11,7,11,6,22,2,24,4,19,9,21,3,23,0,21
7,26,5,11,2,17,3,25,0,27,8,16,6,15,4,18,1,29,9,26
5,15,3,21,0,10,6,27,9,19,8,11,1,16,4,28,2,21,7,26
9,29,1,18,6,29,3,26,7,19,8,25,5,21,0,17,4,16,2,23
3,26,5,29,2,14,0,20,7,19,8,13,9,19,4,15,6,19,1,28
5,21,1,23,6,14,3,21,7,26,0,23,4,24,8,22,2,15,9,12
4,22,3,17,1,15,8,20,2,22,7,25,0,28,9,22,6,27,5,23
8,20,7,23,9,27,6,24,5,14,0,16,4,27,3,23
1,15,7,13,8,21,3,12,5,11,6,28,2,29,4,20,9,10,0,21
1,13,6,26,0,27,3,18,8,11,9,26,7,12,4,18,5,27,2,26
5,26,3,15,6,21,4,23,2,10,1,10,0,17,7,12
3,26,6,28,8,20,1,21,2,26,4,29,7,20,0,20
2,22,7,18,6,26,4,21,1,19,3,18,8,21,5,20
9,14,1,15,6,20,3,28,2,22,8,14,0,13,5,21,7,15,4,15
5,10,9,29,4,14,8,25,0,25,7,27,3,27,2,18,1,10
4,20,8,19,5,20,3,18,2,23,9,22,1,10,0,10,7,26,6,16
5,26,0,11,1,16,8,28,9,26,2,26,7,26,3,19,6,27,4,21
6,19,4,14,1,12,7,21,8,19,9,14,3,11,5,16,0,21,2,22
2,11,5,15,8,17,1,16,3,11,7,11,9,12,0,20,4,17
5,18,4,11,9,25,0,21,3,24,6,11,7,26,1,23,2,28,8,14
5,14,1,21,7,15,2,10,0,17,8,23,9,17,3,11,4,15
6,24,0,27,5,25,8,23,9,17,1,23,7,29,2,29,3,19,4,25
7,17,2,20,8,25,5,16,1,18,3,18,6,25,9,25,4,14,0,13
6,16,7,26,9,23,2,19,4,12,3,17,0,26,1,25,8,27
5,15,2,17,9,29,0,21,3,13,1,18,6,12,8,27,4,21,7,18
2,13,3,23,1,24,5,24,7,20,4,25,8,14,6,17,9,15
6,21,8,14,5,27,0,13,3,24,2,17,7,25,9,16,4,16
5,13,9,28,0,28,7,13,8,14,1,13,4,19,2,25,6,15,3,18
2,16,1,12,8,11,3,27,0,26,6,24,7,27,5,28,4,24,9,11
7,28,2,17,8,22,9,15,5,15,4,10,0,14,3,18
3,26,5,22,6,28,7,10,1,13,2,18,0,25,9,22,4,12,8,19
9,24,2,13,0,23,7,24,4,20,6,26,8,21
5,14,2,10,9,20,1,26,4,13,3,29,8,13,7,15,0,16,6,27
2,12,6,23,7,17,4,23,8,19,5,15,3,25,0,23,1,18
7,22,6,16,4,17,1,18,5,19,8,11,2,22,9,16
6,28,9,16,1,17,5,16,7,16,0,23,2,25
5,14,8,20,7,15,9,26,1,21,0,10,4,24
0,28,5,22,1,15,8,10,4,25,2,28,7,29,6,19,9,17,3,22
1,20,2,19,6,25,9,24,8,20,0,17,7,12,4,19,5,21,3,21
1,29,6,22,2,18,8,17,9,24,0,23,3,12,4,14,5,24,7,14
0,25,1,16,8,18,5,10,2,21,7,24,6,17,4,13,3,27,9,14
6,29,4,19,1,19,8,14,7,27,5,14,0,27,2,29,9,29
