id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,79,407.5,0.22,0.22,0.022000000000000002
1,19,359.5,0.96,0.96,0.096
2,89,371.0,0.44,0.44,0.044000000000000004
3,95,360.5,0.12,0.12,0.012
4,57,330.0,0.62,0.62,0.062
5,69,367.5,0.63,0.63,0.063
6,27,346.5,0.89,0.89,0.08900000000000001
7,51,412.5,0.56,0.56,0.05600000000000001
8,64,358.0,0.32,0.32,0.032
9,0,325.5,0.57,0.57,0.056999999999999995
10,17,291.5,0.66,0.66,0.066
11,31,305.5,0.84,0.84,0.084
12,59,381.5,0.29,0.29,0.028999999999999998
13,55,335.5,0.11,0.11,0.011000000000000001
14,21,343.5,0.97,0.97,0.097
15,56,356.0,0.95,0.95,0.095
16,49,328.0,0.38,0.38,0.038000000000000006
17,16,335.5,0.67,0.67,0.067
18,6,276.0,0.12,0.12,0.012
19,89,375.5,0.98,0.98,0.098
20,4,280.0,0.72,0.72,0.072
21,38,357.5,1.0,1.0,0.1
22,93,337.5,0.47,0.47,0.047
23,22,335.5,0.22,0.22,0.022000000000000002
24,13,293.5,0.48,0.48,0.048
25,25,307.0,0.43,0.43,0.043000000000000003
26,31,361.0,0.14,0.14,0.014000000000000002
27,23,261.5,0.75,0.75,0.07500000000000001
28,50,359.0,0.36,0.36,0.036
29,60,316.5,0.61,0.61,0.061
30,54,291.0,0.37,0.37,0.037
31,66,361.5,0.88,0.88,0.08800000000000001
32,84,375.0,0.69,0.69,0.06899999999999999
33,62,336.5,0.57,0.57,0.056999999999999995
34,87,366.0,0.97,0.97,0.097
35,6,309.0,0.6,0.6,0.06
36,33,361.5,0.52,0.52,0.052000000000000005
37,67,352.0,0.24,0.24,0.024
38,21,300.0,0.5,0.5,0.05
39,93,396.0,0.25,0.25,0.025
40,83,395.0,0.81,0.81,0.08100000000000002
41,91,412.0,0.6,0.6,0.06
42,45,339.0,0.89,0.89,0.08900000000000001
43,12,291.0,0.56,0.56,0.05600000000000001
44,32,320.0,0.8,0.8,0.08000000000000002
45,50,291.5,0.68,0.68,0.068
46,29,299.0,0.49,0.49,0.049
47,32,327.5,0.18,0.18,0.018
48,72,330.0,0.17,0.17,0.017
49,79,377.5,0.28,0.28,0.028000000000000004
