id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,95,386.0,0.3,0.3,0.03
1,21,313.5,0.39,0.39,0.03900000000000001
2,23,293.0,0.18,0.18,0.018
3,3,313.5,0.46,0.46,0.046000000000000006
4,3,295.5,0.91,0.91,0.09100000000000001
5,50,345.5,0.21,0.21,0.021
6,28,331.0,0.4,0.4,0.04000000000000001
7,57,373.5,0.69,0.69,0.06899999999999999
8,81,351.0,0.63,0.63,0.063
9,68,326.0,0.9,0.9,0.09000000000000001
10,36,306.0,0.31,0.31,0.031
11,55,361.0,0.27,0.27,0.027000000000000003
12,85,368.5,0.97,0.97,0.097
13,44,305.0,0.79,0.79,0.07900000000000001
14,35,306.5,0.51,0.51,0.051000000000000004
15,89,356.0,0.96,0.96,0.096
16,42,289.5,0.17,0.17,0.017
17,48,309.0,0.55,0.55,0.05500000000000001
18,64,350.5,0.53,0.53,0.053000000000000005
19,77,363.5,0.21,0.21,0.021
