id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,37,349.0,0.29,0.19,0.028999999999999998
1,97,403.0,0.99,0.99,0.099
2,98,396.5,0.9,0.9,0.09000000000000001
3,84,372.0,0.28,0.28,0.028000000000000004
4,34,344.5,0.57,0.57,0.056999999999999995
5,3,250.5,0.44,0.44,0.044000000000000004
6,16,335.5,0.9,0.9,0.09000000000000001
7,52,296.5,0.28,0.28,0.028000000000000004
8,53,347.0,0.21,0.1,0.021
9,17,338.0,0.43,0.43,0.043000000000000003
10,32,327.5,0.29,0.1,0.028999999999999998
11,14,300.5,0.42,0.42,0.042
12,40,346.0,0.52,0.52,0.052000000000000005
13,55,313.0,0.23,0.23,0.023000000000000003
14,15,319.5,0.47,0.47,0.047
15,1,296.5,0.24,0.24,0.024
16,71,360.5,0.23,0.23,0.023000000000000003
17,84,417.0,0.53,0.53,0.053000000000000005
18,51,363.0,0.98,0.98,0.098
19,24,306.0,0.56,0.56,0.05600000000000001
