id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,37,337.0,0.79,0.79,0.07900000000000001
1,44,356.0,0.96,0.96,0.096
2,12,321.0,0.49,0.49,0.049
3,15,253.5,0.59,0.59,0.059
4,86,384.5,0.56,0.56,0.05600000000000001
5,95,456.5,0.87,0.87,0.08700000000000001
6,45,321.0,0.42,0.42,0.042
7,11,321.5,0.95,0.95,0.095
8,3,252.0,0.78,0.78,0.07800000000000001
9,76,364.0,0.35,0.35,0.034999999999999996
10,47,339.5,0.85,0.85,0.085
11,48,348.0,0.37,0.37,0.037
12,95,368.0,0.86,0.86,0.08600000000000001
13,74,386.0,0.58,0.58,0.057999999999999996
14,62,363.5,0.16,0.16,0.016
15,83,353.0,0.76,0.76,0.07600000000000001
16,89,435.5,0.71,0.71,0.071
17,60,330.0,0.37,0.37,0.037
18,61,317.5,0.72,0.72,0.072
19,79,391.0,0.81,0.81,0.08100000000000002
