id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,5,300.5,0.27,0.27,0.027000000000000003
1,12,304.5,0.94,0.94,0.094
2,94,407.5,0.68,0.68,0.068
3,26,335.0,0.24,0.24,0.024
4,55,391.0,0.43,0.43,0.043000000000000003
5,90,336.0,0.51,0.51,0.051000000000000004
6,19,395.5,0.55,0.55,0.05500000000000001
7,79,388.0,0.74,0.74,0.074
8,51,352.5,0.57,0.57,0.056999999999999995
9,39,328.5,0.93,0.93,0.09300000000000001
10,66,372.0,0.36,0.36,0.036
11,2,339.5,0.47,0.47,0.047
12,18,285.0,0.77,0.77,0.07700000000000001
13,27,336.0,0.5,0.5,0.05
14,95,383.0,0.13,0.13,0.013000000000000001
15,51,369.0,0.11,0.11,0.011000000000000001
16,58,338.5,0.34,0.34,0.034
17,62,353.0,0.42,0.42,0.042
18,83,371.0,0.54,0.54,0.054000000000000006
19,95,399.5,0.92,0.92,0.09200000000000001
20,12,327.0,0.32,0.32,0.032
21,64,364.0,0.57,0.57,0.056999999999999995
22,21,312.0,0.62,0.62,0.062
23,100,443.5,0.13,0.13,0.013000000000000001
24,87,384.0,0.87,0.87,0.08700000000000001
25,29,314.0,0.3,0.3,0.03
26,59,329.0,0.5,0.5,0.05
27,92,383.0,0.68,0.68,0.068
28,61,334.0,0.36,0.36,0.036
29,55,401.5,0.26,0.26,0.026000000000000002
30,2,311.0,0.17,0.17,0.017
31,6,262.5,0.37,0.37,0.037
32,92,378.5,0.59,0.59,0.059
33,33,363.0,0.97,0.97,0.097
34,37,269.5,0.21,0.21,0.021
35,24,300.0,0.39,0.39,0.03900000000000001
36,92,390.5,0.81,0.81,0.08100000000000002
37,25,335.5,0.39,0.39,0.03900000000000001
38,74,372.5,0.82,0.82,0.082
39,99,388.5,0.8,0.8,0.08000000000000002
40,23,302.0,0.37,0.37,0.037
41,87,391.5,0.99,0.99,0.099
42,30,369.0,0.64,0.64,0.064
43,91,373.0,0.54,0.54,0.054000000000000006
44,25,337.0,0.54,0.54,0.054000000000000006
45,34,331.0,0.25,0.25,0.025
46,14,305.0,0.24,0.24,0.024
47,93,382.5,0.63,0.63,0.063
48,1,301.0,0.67,0.67,0.067
49,47,323.0,0.12,0.12,0.012
