id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,36,345.0,0.57,0.57,0.056999999999999995
1,7,241.0,0.79,0.79,0.07900000000000001
2,68,323.0,0.37,0.37,0.037
3,66,345.0,0.24,0.24,0.024
4,13,292.0,0.31,0.31,0.031
5,17,254.0,0.36,0.36,0.036
6,46,319.0,0.45,0.45,0.045000000000000005
7,43,305.5,0.31,0.31,0.031
8,58,340.0,0.62,0.62,0.062
9,3,316.5,0.7,0.7,0.06999999999999999
10,9,303.0,0.94,0.94,0.094
11,96,396.0,0.29,0.29,0.028999999999999998
12,57,370.5,0.18,0.18,0.018
13,20,303.5,0.34,0.34,0.034
14,62,383.0,0.59,0.59,0.059
15,43,292.0,0.11,0.11,0.011000000000000001
16,3,273.0,0.55,0.55,0.05500000000000001
17,93,330.0,0.99,0.99,0.099
18,8,306.5,0.34,0.34,0.034
19,61,353.5,0.16,0.16,0.016
