id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,48,335.3,0.48,0.48,0.048
1,82,306.9,0.59,0.59,0.059
2,92,388.40000000000003,0.23,0.23,0.023000000000000003
3,69,392.7,0.69,0.69,0.06899999999999999
4,12,243.4,0.86,0.86,0.08600000000000001
5,57,323.5,0.62,0.62,0.062
6,27,292.2,0.84,0.84,0.084
7,87,358.7,0.71,0.71,0.071
8,53,327.3,0.83,0.83,0.083
9,96,379.40000000000003,0.66,0.66,0.066
10,71,288.1,0.49,0.49,0.049
11,23,245.3,0.67,0.67,0.067
12,31,268.9,0.16,0.16,0.016
13,10,280.40000000000003,0.9,0.9,0.09000000000000001
14,9,248.20000000000002,0.33,0.33,0.033
15,68,321.5,0.59,0.59,0.059
16,71,358.3,0.82,0.82,0.082
17,19,264.70000000000005,0.61,0.61,0.061
18,75,337.6,0.55,0.55,0.05500000000000001
19,76,302.20000000000005,0.84,0.84,0.084
