id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,99,392.8,0.4,0.4,0.04000000000000001
1,96,370.3,0.92,0.92,0.09200000000000001
2,81,283.8,0.63,0.63,0.063
3,90,331.8,0.3,0.3,0.03
4,37,287.9,0.68,0.68,0.068
5,56,319.90000000000003,0.86,0.86,0.08600000000000001
6,49,294.70000000000005,0.56,0.56,0.05600000000000001
7,1,228.5,0.68,0.68,0.068
8,39,286.0,0.5,0.5,0.05
9,35,332.7,0.77,0.77,0.07700000000000001
10,85,302.1,0.68,0.68,0.068
11,41,298.40000000000003,0.2,0.2,0.020000000000000004
12,14,261.0,0.74,0.74,0.074
13,14,216.8,0.36,0.36,0.036
14,1,294.8,0.46,0.46,0.046000000000000006
15,58,282.9,0.99,0.99,0.099
16,21,279.7,0.2,0.2,0.020000000000000004
17,72,343.7,0.82,0.82,0.082
18,72,320.3,0.41,0.41,0.041
19,88,303.8,0.21,0.21,0.021
