id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,80,387.5,0.53,0.53,0.053000000000000005
1,65,377.0,0.87,0.87,0.08700000000000001
2,21,279.0,0.49,0.49,0.049
3,1,346.0,0.69,0.69,0.06899999999999999
4,23,306.5,0.44,0.44,0.044000000000000004
5,47,341.0,0.41,0.41,0.041
6,16,277.0,0.63,0.63,0.063
7,53,390.5,0.69,0.69,0.06899999999999999
8,3,285.0,0.31,0.31,0.031
9,18,327.0,0.63,0.63,0.063
10,59,315.5,0.47,0.47,0.047
11,30,339.0,0.63,0.63,0.063
12,55,353.5,0.95,0.95,0.095
13,55,383.5,0.53,0.53,0.053000000000000005
14,41,371.0,0.88,0.88,0.08800000000000001
15,62,302.0,0.47,0.47,0.047
16,59,353.0,0.92,0.92,0.09200000000000001
17,82,338.5,0.68,0.68,0.068
18,68,369.5,0.95,0.95,0.095
19,63,307.5,0.66,0.66,0.066
