id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,7,284.5,0.76,0.76,0.07600000000000001
1,78,391.5,0.74,0.74,0.074
2,21,279.0,0.92,0.92,0.09200000000000001
3,100,421.0,0.55,0.55,0.05500000000000001
4,72,367.5,0.27,0.11,0.027000000000000003
5,81,355.5,0.34,0.34,0.034
6,84,438.0,0.15,0.15,0.015
7,39,357.0,0.63,0.63,0.063
8,27,321.0,0.25,0.25,0.025
9,82,364.0,0.67,0.67,0.067
10,69,390.0,0.82,0.82,0.082
11,71,357.5,1.0,1.0,0.1
12,59,344.0,0.47,0.47,0.047
13,53,357.5,0.2,0.2,0.020000000000000004
14,30,333.0,0.97,0.97,0.097
15,6,231.0,0.56,0.56,0.05600000000000001
16,80,326.0,0.87,0.87,0.08700000000000001
17,71,353.0,0.7,0.7,0.06999999999999999
18,45,358.5,0.98,0.98,0.098
19,28,319.0,0.38,0.38,0.038000000000000006
20,92,405.5,0.2,0.2,0.020000000000000004
21,72,360.0,0.7,0.7,0.06999999999999999
22,99,411.0,0.61,0.61,0.061
23,27,342.0,0.32,0.32,0.032
24,78,336.0,0.79,0.79,0.07900000000000001
25,56,339.5,0.96,0.96,0.096
26,72,340.5,0.3,0.3,0.03
27,49,376.0,0.99,0.99,0.099
28,98,384.5,0.93,0.93,0.09300000000000001
29,61,376.0,0.82,0.82,0.082
30,59,344.0,0.21,0.21,0.021
31,84,346.5,0.27,0.14,0.027000000000000003
32,18,283.5,0.81,0.81,0.08100000000000002
33,2,314.0,0.73,0.73,0.073
34,41,293.0,0.75,0.75,0.07500000000000001
35,69,369.0,0.58,0.58,0.057999999999999996
36,8,332.0,0.98,0.98,0.098
37,75,334.5,0.89,0.89,0.08900000000000001
38,58,385.0,0.92,0.92,0.09200000000000001
39,85,347.5,0.73,0.73,0.073
40,50,320.0,0.51,0.51,0.051000000000000004
41,54,348.0,0.8,0.8,0.08000000000000002
42,85,367.0,0.41,0.41,0.041
43,79,385.0,0.61,0.61,0.061
44,23,327.5,0.98,0.98,0.098
45,0,268.5,0.15,0.15,0.015
46,84,394.5,0.36,0.36,0.036
47,53,297.5,0.43,0.43,0.043000000000000003
48,60,322.5,0.24,0.24,0.024
49,47,323.0,0.74,0.74,0.074
